Description,DescriptionType
ADD STOCK TO ALLOCATE ONLINE ORDERS,ADJUSTMENT
ADJUST,ADJUSTMENT
ADJUSTMENT,ADJUSTMENT
AMENDMENT,ADJUSTMENT
NON COLOUR FAST,ADJUSTMENT
RE ADJUSTMENT,ADJUSTMENT
REVERSE 21 5 10 ADJUSTMENT,ADJUSTMENT
REVERSE PREVIOUS ADJUSTMENT,ADJUSTMENT
TAIG ADJUST,ADJUSTMENT
TAIG ADJUST NO STOCK,ADJUSTMENT
TEMP,ADJUSTMENT
TEMP ADJUSTMENT,ADJUSTMENT
UPDATE,ADJUSTMENT
JOHN LEWIS,ADMIN
REX USE,ADMIN
WEBSITE FIXED,ADMIN
AMAZON,AMAZON
AMAZON ADJUST,AMAZON
AMAZON ADJUSTMENT,AMAZON
AMAZON SALES,AMAZON
AMAZON SOLD AS SET,AMAZON
AMAZON SOLD SETS,AMAZON
DONATED TO THE FOOD CHAIN CHARITY,DONATION
GIVEN AWAY,DONATION
BARCODE PROBLEM,CLERICAL ERROR
CAME AS GREEN,CLERICAL ERROR
CAME CODED AS 20713,CLERICAL ERROR
CODE MIX UP 72597,CLERICAL ERROR
CODE MIX UP 84930,CLERICAL ERROR
CODING MIX UP,CLERICAL ERROR
ENTRY ERROR,CLERICAL ERROR
INCORRECT CREDIT,CLERICAL ERROR
INCORRECT STOCK ENTRY,CLERICAL ERROR
INCORRECTLY CREDITED C550456 SEE 47,CLERICAL ERROR
INCORRECTLY ENTERED SHOULD BE 2279,CLERICAL ERROR
INCORRECTLY MADE THROWN AWAY,CLERICAL ERROR
INCORRECTLY PUT BACK INTO STOCK,CLERICAL ERROR
INVCD AS 84879,CLERICAL ERROR
INVOICE 506647,CLERICAL ERROR
LABEL MIX UP,CLERICAL ERROR
MARKED AS 23343,CLERICAL ERROR
MICHEL OOPS,CLERICAL ERROR
MISSING WRONGLY CODED,CLERICAL ERROR
MIX UP WITH C,CLERICAL ERROR
MIXED UP,CLERICAL ERROR
MIXED WITH BLUE,CLERICAL ERROR
MY ERROR CONNOR,CLERICAL ERROR
REVERSE MISTAKE,CLERICAL ERROR
SALE ERROR,CLERICAL ERROR
SOLD AS 1,CLERICAL ERROR
SOLD AS 1 ON DOTCOM,CLERICAL ERROR
SOLD AS 17003,CLERICAL ERROR
SOLD AS 22467,CLERICAL ERROR
SOLD AS A B,CLERICAL ERROR
SOLD AS C,CLERICAL ERROR
SOLD AS D,CLERICAL ERROR
SOLD AS GOLD,CLERICAL ERROR
SOLD AS SET 6 BY DOTCOM,CLERICAL ERROR
SOLD AS SET 6 ON DOTCOM,CLERICAL ERROR
SOLD AS SET BY DOTCOM,CLERICAL ERROR
SOLD AS SET ON DOTCOM,CLERICAL ERROR
SOLD AS SET ON DOTCOM AND AMAZON,ADJUSTMENT
SOLD AS SETS,CLERICAL ERROR
SOLD IN SET,CLERICAL ERROR
SOLD IN WRONG QNTY,CLERICAL ERROR
SOLD INDIVIDUALLY,CLERICAL ERROR
SOLD WITH WRONG BARCODE,CLERICAL ERROR
STOCK CREDITTED WRONGLY,CLERICAL ERROR
WRONG BARCODE,CLERICAL ERROR
WRONG BARCODE 22467,CLERICAL ERROR
WRONG CODE,CLERICAL ERROR
WRONG CTN SIZE,CLERICAL ERROR
WRONG INVC,CLERICAL ERROR
WRONGLY CODED 20713,CLERICAL ERROR
WRONGLY CODED 23343,CLERICAL ERROR
WRONGLY MARKED,CLERICAL ERROR
WRONGLY MARKED 23343,CLERICAL ERROR
WRONGLY MARKED 23343 IN BOX,CLERICAL ERROR
WRONGLY MARKED CARTON 22804,CLERICAL ERROR
WRONGLY MRKED HAD 85123A IN BOX,CLERICAL ERROR
WRONGLY SOLD 22719 BARCODE,CLERICAL ERROR
WRONGLY SOLD AS SETS,CLERICAL ERROR
WRONGLY SOLD SETS,CLERICAL ERROR
BAD QUALITY,DAMAGED
BREAKAGES,DAMAGED
BROKEN,DAMAGED
BROKEN GLASS,DAMAGED
BROKEN UNEVEN BOTTOM,DAMAGED
BROKEN ZIPS,DAMAGED
CRACKED,DAMAGED
CRACKED GLAZE EARRINGS BROWN,DAMAGED
CRACKED GLAZE EARRINGS IVORY,DAMAGED
CRACKED GLAZE EARRINGS RED,DAMAGED
CRACKED GLAZE NECKLACE BROWN,DAMAGED
CRACKED GLAZE NECKLACE IVORY,DAMAGED
CRACKED GLAZE NECKLACE RED,DAMAGED
CRUSHED,DAMAGED
CRUSHED BOXES,DAMAGED
CRUSHED CTN,DAMAGED
DAGAMED,DAMAGED
DAMAGED,DAMAGED
DAMAGED DIRTY,DAMAGED
DAMAGED STOCK,DAMAGED
DAMAGES,DAMAGED
DAMAGES CREDITS FROM ASOS,DAMAGED
DAMAGES DISPLAY,DAMAGED
DAMAGES DOTCOM,DAMAGED
DAMAGES ETC,DAMAGED
DAMAGES LOST BITS ETC,DAMAGED
DAMAGES SAMPLES,DAMAGED
DAMAGES SHOWROOM ETC,DAMAGED
DAMAGES WAX,DAMAGED
DAMGES,DAMAGED
DAMP AND RUSTY,DAMAGED
DIRTY,DAMAGED
DIRTY TORN THROWN AWAY,DAMAGED
DISCOLOURED,DAMAGED
FAULTY,DAMAGED
MOULDY,DAMAGED
MOULDY THROWN AWAY,DAMAGED
MOULDY UNSALEABLE,DAMAGED
POOR QUALITY,DAMAGED
RUST MISSING SETS ETC,DAMAGED
RUSTY,DAMAGED
RUSTY CONNECTIONS,DAMAGED
RUSTY THROW AWAY,DAMAGED
RUSTY THROWN AWAY,DAMAGED
SAMPLES DAMAGES,DAMAGED
SMASHED,DAMAGED
THROW AWAY,DAMAGED
THROWN AWAY,DAMAGED
THROWN AWAY CAN T SELL,DAMAGED
THROWN AWAY RUSTY,DAMAGED
WATER DAMAGE,DAMAGED
WATER DAMAGED,DAMAGED
WET,DAMAGED
WET AND ROTTING,DAMAGED
WET BOXES,DAMAGED
WET CARTONS,DAMAGED
WET CTN,DAMAGED
WET DAMAGED,DAMAGED
WET DAMAGES,DAMAGED
WET MOULDY,DAMAGED
WET PALLET,DAMAGED
WET PALLET THROWN AWAY,DAMAGED
WET ROTTING,DAMAGED
WET RUSTY,DAMAGED
WET RUSTY THROWN AWAY,DAMAGED
WET SMASHED UNSELLABLE,DAMAGED
DOTCOM,DOTCOM
DOTCOM ADJUST,DOTCOM
DOTCOM EMAIL,DOTCOM
DOTCOM MULTIPLE,DOTCOM
DOTCOM MULTIPLES,DOTCOM
DOTCOM SALES,DOTCOM
DOTCOM SET,DOTCOM
DOTCOM SETS,DOTCOM
DOTCOM SOLD AS SET,DOTCOM
DOTCOM SOLD IN 6 S,DOTCOM
DOTCOM SOLD SETS,DOTCOM
DOTCOMGIFTSHOP GIFT VOUCHER 100 00,DOTCOM
DOTCOMSTOCK,DOTCOM
RCVD BE AIR TEMP FIX FOR DOTCOM SIT,DOTCOM
RE DOTCOM QUICK FIX,DOTCOM
EBAY,EBAY
EBAY SALES,EBAY
EBAY SALES BY THE BOX,EBAY
ON CARGO ORDER,POSTAGE
PACKING CHARGE,POSTAGE
RETURNED,PRODUCT RETURN
