pattern,purchase_behaviour,multiple_year_purchase
111111111,Year-round Purchase,TRUE
011111111,Year-round Purchase,TRUE
000000011,H2 Purchase,FALSE
000000111,Year-round Purchase,FALSE
000001111,Year-round Purchase,FALSE
000111111,Year-round Purchase,TRUE
001111111,Year-round Purchase,TRUE
000011111,Year-round Purchase,TRUE
000010111,Year-round Purchase,FALSE
000000001,Winter-Peak Purchase,FALSE
011110111,Year-round Purchase,TRUE
011110000,Year-round Purchase,FALSE
111110111,Year-round Purchase,TRUE
011111110,Year-round Purchase,TRUE
001110000,Year-round Purchase,FALSE
000010001,Winter-Peak Purchase,TRUE
001110111,Year-round Purchase,TRUE
111110000,Year-round Purchase,TRUE
111111110,Year-round Purchase,TRUE
000001101,Year-round Purchase,FALSE
000010011,H2 Purchase,TRUE
111111101,Year-round Purchase,TRUE
000010101,Spring-Winter Purchase,TRUE
011111101,Year-round Purchase,TRUE
001010101,Spring-Winter Purchase,TRUE
000110011,H2 Purchase,TRUE
011111010,Year-round Purchase,TRUE
011010000,Year-round Purchase,FALSE
011100000,Year-round Purchase,FALSE
110111111,Year-round Purchase,TRUE
011101111,Year-round Purchase,TRUE
001010001,Spring-Winter Purchase,TRUE
000111011,Year-round Purchase,TRUE
000110000,H2 Purchase,FALSE
101111111,Year-round Purchase,TRUE
000011101,Year-round Purchase,TRUE
000011100,Year-round Purchase,FALSE
000111101,Year-round Purchase,TRUE
011000000,H1 Purchase,FALSE
000001110,Year-round Purchase,FALSE
000000110,Spring-Summer Purchase,FALSE
001010000,Spring-Winter Purchase,TRUE
001100000,Spring-Summer Purchase,FALSE
011100001,Year-round Purchase,TRUE
000110111,Year-round Purchase,TRUE
000110101,Year-round Purchase,TRUE
011101110,Year-round Purchase,TRUE
011111100,Year-round Purchase,TRUE
010110000,Year-round Purchase,FALSE
011110010,Year-round Purchase,TRUE
001111110,Year-round Purchase,TRUE
011011111,Year-round Purchase,TRUE
000111000,Year-round Purchase,FALSE
001010100,Spring-Winter Purchase,TRUE
111111011,Year-round Purchase,TRUE
001110010,Year-round Purchase,TRUE
001110110,Year-round Purchase,TRUE
000000101,Spring-Winter Purchase,FALSE
011010101,Year-round Purchase,TRUE
011010100,Year-round Purchase,TRUE
000111010,Year-round Purchase,FALSE
011111011,Year-round Purchase,TRUE
000011011,Year-round Purchase,TRUE
000011110,Year-round Purchase,TRUE
001011001,Year-round Purchase,TRUE
010111111,Year-round Purchase,TRUE
001100100,Spring-Summer Purchase,TRUE
111100000,Year-round Purchase,TRUE
000001011,Year-round Purchase,FALSE
000010110,Year-round Purchase,TRUE
011110011,Year-round Purchase,TRUE
010111000,Year-round Purchase,TRUE
001011100,Year-round Purchase,TRUE
001110001,Year-round Purchase,TRUE
111000000,Year-round Purchase,FALSE
001110101,Year-round Purchase,TRUE
111010000,Year-round Purchase,TRUE
011010010,Year-round Purchase,TRUE
111111001,Year-round Purchase,TRUE
001100110,Spring-Summer Purchase,TRUE
000110110,Year-round Purchase,TRUE
011011010,Year-round Purchase,TRUE
101110100,Year-round Purchase,TRUE
111111000,Year-round Purchase,TRUE
001010011,Year-round Purchase,TRUE
000111001,Year-round Purchase,TRUE
100010001,Winter-Peak Purchase,TRUE
011011000,Year-round Purchase,TRUE
000110010,H2 Purchase,TRUE
001110011,Year-round Purchase,TRUE
000100111,Year-round Purchase,TRUE
000011010,Year-round Purchase,TRUE
001110100,Year-round Purchase,TRUE
011010111,Year-round Purchase,TRUE
000100110,Spring-Summer Purchase,TRUE
000011001,Winter Season Purchase,TRUE
010100000,New-Year Summer Purchase,FALSE
011101011,Year-round Purchase,TRUE
111110001,Year-round Purchase,TRUE
011110100,Year-round Purchase,TRUE
110000000,Winter Season Purchase,FALSE
010111011,Year-round Purchase,TRUE
000111110,Year-round Purchase,TRUE
001111000,Year-round Purchase,TRUE
010111001,Year-round Purchase,TRUE
101110001,Year-round Purchase,TRUE
011100100,Year-round Purchase,TRUE
000110001,H2 Purchase,TRUE
111101111,Year-round Purchase,TRUE
001101010,Year-round Purchase,TRUE
010010000,Winter Season Purchase,TRUE
110110000,Year-round Purchase,TRUE
010111110,Year-round Purchase,TRUE
001011000,Year-round Purchase,TRUE
010011111,Year-round Purchase,TRUE
001010110,Year-round Purchase,TRUE
101010101,Spring-Winter Purchase,TRUE
010101111,Year-round Purchase,TRUE
011100110,Year-round Purchase,TRUE
001100001,Year-round Purchase,TRUE
101010001,Spring-Winter Purchase,TRUE
001111011,Year-round Purchase,TRUE
111011111,Year-round Purchase,TRUE
011010001,Year-round Purchase,TRUE
010110100,Year-round Purchase,TRUE
001100010,Spring-Summer Purchase,TRUE
010011010,Year-round Purchase,TRUE
001011111,Year-round Purchase,TRUE
101110000,Year-round Purchase,TRUE
000010100,Spring-Winter Purchase,FALSE
010010111,Year-round Purchase,TRUE
001100111,Year-round Purchase,TRUE
111111010,Year-round Purchase,TRUE
010010011,Year-round Purchase,TRUE
011111000,Year-round Purchase,TRUE
000010000,Winter-Peak Purchase,FALSE
111011001,Year-round Purchase,TRUE
001011010,Year-round Purchase,TRUE
010110011,Year-round Purchase,TRUE
001101110,Year-round Purchase,TRUE
011100010,Year-round Purchase,TRUE
111111100,Year-round Purchase,TRUE
011101100,Year-round Purchase,TRUE
011001000,H1 Purchase,TRUE
011110001,Year-round Purchase,TRUE
010110111,Year-round Purchase,TRUE
011110101,Year-round Purchase,TRUE
